年周,开始日期,项目/车型,产品编码,产品名称,单位,单车用量,星期日,星期一,星期二,星期三,星期四,星期五,星期六,计划量,完成量,完成率,属性
2025_46,2025-11-09,BP45,BP45B-XC-03,BP45（76）B左边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1680,1067.0,64.0,本厂
2025_46,2025-11-09,37KWH,500109-00515-01-07,37KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,2203.0,95.0,本厂
2025_46,2025-11-09,025AC,10062035-0-04-A,025AC后边梁,个,1,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1201,968.0,81.0,本厂
2025_46,2025-11-09,025AC,10062035-0-05,025AC前横梁,个,1,1.0,215.0,215.0,1.0,1.0,215.0,1.0,649,616.0,95.0,本厂
2025_46,2025-11-09,025AC,10062035-0-11,025AC右边梁,个,1,1.0,140.0,140.0,140.0,140.0,140.0,140.0,841,489.0,58.0,本厂
2025_46,2025-11-09,025AC,10062035-0-06,025AC中横梁,个,1,1.0,1.0,1.0,280.0,280.0,1.0,280.0,844,770.0,91.0,本厂
2025_46,2025-11-09,025AC,10062035-0-07,025AC纵梁,个,1,300.0,300.0,300.0,300.0,1.0,1.0,1.0,1203,275.0,23.0,本厂
2025_46,2025-11-09,025AC,10062035-0-03,025AC左边梁,个,1,1.0,140.0,140.0,140.0,140.0,140.0,140.0,841,431.0,51.0,本厂
2025_45,2025-11-02,面板,421,421后面板,个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2025_45,2025-11-02,面板,445,445后面板,个,1,,,1.0,1.0,1.0,1.0,1.0,5,184.0,3680.0,本厂
2025_45,2025-11-02,SD01-61,SD01-61KWH-B-XC-004,SD01后边框,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,804.0,88.0,本厂
2025_45,2025-11-02,SD01-61,SD01-61KWH-B-XC-010,SD01后横梁,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,813.0,65.0,本厂
