产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
500109-00381-01-03,E12后边框,500109-00381-01-03-YL,1352,E12后边框,E12,1,3.674,3.37,0.0,0.304,机加部,祥鑫
500109-00381-01-04,E12横梁01,500109-00381-01-04-YL,1302*86*22,E12横梁01,E12,1,2.03,1.935,0.025,0.07,机加部,祥鑫
500109-00381-01-05,E12横梁02(四驱）,500109-00381-01-05-YL-GY,1290*86*22,E12横梁02/03,E12,1,2.04,1.915,0.025,0.1,机加部,祥鑫
500109-00381-01-06,E12膨胀梁(四驱）,500109-00381-01-06-YL-GY,1290*86*20.5,E12膨胀梁,E12,1,1.962,1.788,0.0,0.174,机加部,祥鑫
500109-00381-01-07-A,E12纵梁01,500109-00381-01-07-A-YL-GY,2022.3,E12纵梁,E12,1,4.82,4.096,0.35,0.374,机加部,祥鑫
500109-00381-01-07-B,E12纵梁02,500109-00381-01-07-A-YL-GY,2022.3,E12纵梁,E12,1,4.82,4.096,0.35,0.374,机加部,祥鑫
500109-00381-01-08,E12横梁03,500109-00381-01-05-YL-GY,1290*86*22,E12横梁02/03,E12,1,2.04,1.915,0.025,0.1,机加部,祥鑫
500109-00381-01-10-A,E12挂载02A,500109-00381-01-10-A-YL,500109-00381-01-10-A-YL,E12挂载02A,E12,1,0.747,0.3,0.0,0.447,外协,祥鑫
500109-00381-01-10-B,E12挂载02B,500109-00381-01-10-B-YL,500109-00381-01-10-B-YL,E12挂载02B,E12,1,0.747,0.3,0.0,0.447,外协,祥鑫
500109-00381-01-11,E12安装座02,500109-00381-01-11-YL,500109-00381-01-11-YL,E12安装座02,E12,1,0.167,0.13,0.0,0.037,外协,祥鑫
500109-00381-01-12,E12安装座01,500109-00381-01-12-YL,500109-00381-01-12-YL,E12安装座01,E12,1,0.142,0.11,0.0,0.032,外协,祥鑫
500109-00381-01-13,E12前挂载点,500109-00381-01-13-YL,500109-00381-01-13-YL,E12前挂载点,E12,2,0.271,0.21,0.0,0.061,外协,祥鑫
500109-00381-01-16,E12安装梁02,500109-00381-01-16-YL,500109-00381-01-16-YL,E12安装梁02,E12,1,0.14,0.14,0.0,0.0,外协,祥鑫
500109-00381-01-26,E12安装梁11（四驱）,500109-00381-01-26-YL,500109-00381-01-26-YL,E12安装梁11（四驱）,E12,1,0.029,0.026,0.0,0.003,外协,祥鑫
500109-00381-01-27,E12安装梁12,500109-00381-01-27-YL,500109-00381-01-27-YL,E12安装梁12,E12,4,0.048,0.04,0.0,0.008,外协,祥鑫
500109-00381-03-02-01,E12护板固定支架01,500109-00381-03-02-01-YL,500109-00381-03-02-01-YL,E12护板固定支架01,E12,5,0.027,0.01,0.0,0.017,外协,祥鑫
500109-00381-03-02-03,E12护板固定支架03,500109-00381-03-02-03-YL,500109-00381-03-02-03-YL,E12护板固定支架03,E12,4,0.093,0.08,0.0,0.013,外协,祥鑫
500109-00381-03-02-06,E12护板固定支架06,500109-00381-03-02-06-YL,500109-00381-03-02-06-YL,E12护板固定支架06,E12,5,0.027,0.01,0.0,0.017,外协,祥鑫
500109-00381-03-03-02,E12护板固定支架02,500109-00381-03-03-02-YL,500109-00381-03-03-02-YL,E12护板固定支架02,E12,4,0.028,0.02,0.0,0.008,外协,祥鑫
500109-00381-03-06-01,E12安装支架,500109-00381-03-06-01-YL,500109-00381-03-06-01-YL,E12安装支架,E12,4,0.0,0.0,0.0,0.0,外协,祥鑫
500109-00412/583-01-05,E12横梁02(两驱）,500109-00381-01-05-YL-GY,1290*86*22,E12横梁02/03,E12,1,2.04,1.915,0.025,0.1,质检部,祥鑫
500109-00412/583-01-06,E12膨胀梁(两驱）,500109-00381-01-06-YL-GY,1290*86*20.5,E12膨胀梁,E12,1,1.962,1.788,0.0,0.174,质检部,祥鑫
500109-00412-01-19,E12安装梁05（两驱）,500109-00412-01-19-YL,500109-00412-01-19-YL,E12安装梁05（两驱）,E12,1,0.189,0.185,0.0,0.004,外协,祥鑫
500109-00582/583-01-03,E12海外版后边框,500109-00381-01-03-YL,1352,E12后边框,E12,1,3.674,3.37,0.0,0.304,质检部,祥鑫
500109-00582/583-03-06-01,E12-海外版安装支架,500109-00582-03-06-01-YL,100,E12-海外版安装支架,E12,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500109-00582-01-25,E12-海外版安装梁10,500109-00582-01-25-YL,77.81,E12-海外版安装梁10,E12,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500109-00582-03-06-01,E12-海外版安装支架,500109-00582-03-06-01-YL,100,E12-海外版安装支架,E12,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500109-00381-01-15,E12安装梁01,500109-00381-01-15-YL,500109-00381-01-15-YL,E12安装梁01,E12-98（星环）,1,0.402,0.26,0.0,0.142,外协,祥鑫
500109-00381-01-17,E12安装梁03,500109-00381-01-17-YL,500109-00381-01-17-YL,E12安装梁03,E12-98（星环）,1,0.178,0.17,0.0,0.008,外协,祥鑫
500109-00381-01-18,E12安装梁04,500109-00381-01-18-YL,500109-00381-01-18-YL,E12安装梁04,E12-98（星环）,1,0.14,0.14,0.0,0.0,外协,祥鑫
500109-00381-01-19,E12安装梁05（四驱）,500109-00381-01-19-YL,500109-00381-01-19-YL,E12安装梁05（四驱）,E12-98（星环）,1,0.189,0.185,0.0,0.004,外协,祥鑫
500109-00381-01-20,E12安装梁06,500109-00381-01-20-YL,500109-00381-01-20-YL,E12安装梁06,E12-98（星环）,1,0.189,0.185,0.0,0.004,外协,祥鑫
500109-00381-01-21,E12安装梁07,500109-00381-01-21-YL,500109-00381-01-21-YL,E12安装梁07,E12-98（星环）,1,0.178,0.175,0.0,0.003,外协,祥鑫
500109-00381-01-22,E12安装梁08,500109-00381-01-22-YL,500109-00381-01-22-YL,E12安装梁08,E12-98（星环）,1,0.178,0.175,0.0,0.003,外协,祥鑫
500109-00381-01-24,E12安装梁09,500109-00381-01-24-YL,500109-00381-01-24-YL,E12安装梁09,E12-98（星环）,2,0.041,0.04,0.0,0.001,外协,祥鑫
500109-00381-01-25,E12安装梁10,500109-00381-01-25-YL,500109-00381-01-25-YL,E12安装梁10,E12-98（星环）,2,0.037,0.03,0.0,0.007,外协,祥鑫
500109-00381-01-28,E12安装梁13,500109-00381-01-28-YL,500109-00381-01-28-YL,E12安装梁13,E12-98（星环）,1,0.099,0.095,0.0,0.004,外协,祥鑫
500109-00381-01-29,E12安装梁14,500109-00381-01-29-YL,500109-00381-01-29-YL,E12安装梁14,E12-98（星环）,2,0.022,0.02,0.0,0.002,外协,祥鑫
500109-00381-01-30,E12安装梁15,500109-00381-01-30-YL,500109-00381-01-30-YL,E12安装梁15,E12-98（星环）,1,0.029,0.026,0.0,0.003,外协,祥鑫
500109-00412/583-01-19,E12安装梁05（两驱）,500109-00381-01-19-YL,425.8,E12安装梁05（四驱）,E12-98（星环）,1,0.189,0.185,0.0,0.004,质检部,祥鑫
500109-00412-01-26,E12安装梁11（两驱）,500109-00412-01-26-YL,500109-00412-01-26-YL,E12安装梁11（两驱）,E12-98（星环）,1,0.0,0.0,0.0,0.0,外协,祥鑫
500109-00521-01-02-A,E15右边框,500109-00521-01-02-A-YL-GY,1940.898,E15左右边框,E15,1,13.686,13.264,0.0,0.422,机加部,祥鑫
500109-00521-01-02-B,E15左边框,500109-00521-01-02-A-YL-GY,1940.898,E15左右边框,E15,1,13.686,13.264,0.0,0.422,机加部,祥鑫
500109-00521-01-03,E15前梁（四驱）,500109-00521-01-03-YL-GY,1400,E15前梁,E15,1,6.906,6.068,0.0,0.838,机加部,祥鑫
500109-00521-01-04,E15后梁,500109-00521-01-04-YL,500109-00521-01-04-YL,E15后梁,E15,1,0.867,0.71,0.0,0.157,外协,祥鑫
500109-00521-01-05,E15中部挂载梁,500109-00521-01-05-YL,1311,E15中部挂载梁,E15,1,4.588,4.458,0.0,0.13,机加部,祥鑫
500109-00521-01-06,E15前膨胀梁,500109-00521-01-06-YL,1311,E15前膨胀梁,E15,1,3.886,3.53,0.0,0.356,机加部,祥鑫
500109-00521-01-07,E15后膨胀梁,500109-00521-01-07-YL,1313,E15后膨胀梁,E15,1,5.682,5.35,0.0,0.332,机加部,祥鑫
500109-00521-01-08,E15中部横梁,500109-00521-01-08-YL,1311,E15中部横梁,E15,1,3.082,2.984,0.046,0.052,机加部,祥鑫
500109-00521-01-09-A,E15右斜后梁,500109-00521-01-09-A-YL,500109-00521-01-09-A-YL,E15右斜后梁,E15,1,1.248,1.065,0.0,0.183,外协,祥鑫
500109-00521-01-09-B,E15左斜后梁,500109-00521-01-09-B-YL,500109-00521-01-09-B-YL,E15左斜后梁,E15,1,1.248,1.045,0.0,0.203,外协,祥鑫
500109-00521-02-01-03,E15水冷法兰支撑梁,500109-00521-02-01-03-YL,500109-00521-02-01-03-YL,E15水冷法兰支撑梁,E15,1,0.291,0.275,0.0,0.016,外协,祥鑫
500109-00521-02-01-06,E15钢带安装底座（挤出）,500109-00521-02-01-06-YL,500109-00521-02-01-06-YL,E15钢带安装底座（挤出）,E15,3,0.035,0.035,0.0,0.0,外协,祥鑫
500109-00521-02-01-08,E15外部型材支架01,500109-00521-02-01-08-YL,500109-00521-02-01-08-YL,E15外部型材支架01,E15,1,0.013,0.012,0.0,0.001,外协,祥鑫
500109-00521-02-01-10,E15支撑支架02,500109-00521-02-01-10-YL,500109-00521-02-01-10-YL,E15支撑支架02,E15,2,0.022,0.022,0.0,0.0,外协,祥鑫
500109-00521-02-01-11,E15支撑梁03,500109-00521-02-01-11-YL,500109-00521-02-01-11-YL,E15支撑梁03,E15,3,0.079,0.053,0.0,0.026,外协,祥鑫
500109-00521-02-01-12,E15钢带安装底座（挤出4）,500109-00521-02-01-12-YL,500109-00521-02-01-12-YL,E15钢带安装底座（挤出4）,E15,1,0.181,0.119,0.0,0.062,外协,祥鑫
500109-00521-02-01-13,E15钢带安装底座（挤出5）,500109-00521-02-01-13-YL,500109-00521-02-01-13-YL,E15钢带安装底座（挤出5）,E15,1,0.181,0.119,0.0,0.062,外协,祥鑫
500109-00521-02-01-14,E15钢带安装底座（挤出2）,500109-00521-02-01-14-YL,500109-00521-02-01-14-YL,E15钢带安装底座（挤出2）,E15,1,0.079,0.059,0.0,0.02,外协,祥鑫
500109-00521-02-01-15,E15钢带安装底座（挤出3）,500109-00521-02-01-15-YL,500109-00521-02-01-15-YL,E15钢带安装底座（挤出3）,E15,1,0.079,0.059,0.0,0.02,外协,祥鑫
