单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
RZZ260526275,10062035-0-05,025AC前横梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 14:18:13,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260521-5908-CQYXL-1263,2026/5/26 0:00:00,2026/5/26 14:21:18
ZZKCK260526014,500104-00518-01-010-02-C,小卡三代-右边框,个,CRK32,包装出库,C,在制成品库,2026/5/26 14:18:11,60,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9044,2026/5/26 0:00:00,2026/5/26 14:21:19
CCPRK260526014,500104-00518-01-010-02-C,小卡三代-右边框,个,CRK03,完工入库,R,成品库,2026/5/26 14:18:11,60,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9044,2026/5/26 0:00:00,2026/5/26 14:21:19
WXXSC260526012,SD01-61KWH-B-XC-019,SD01后端加强横梁2,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:43
WXHCR260526012,SD01-61KWH-B-XC-019,SD01后端加强横梁2,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:44
WXXSC260526012,SD01-61KWH-B-XC-020,SD01前端吊挂,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,480,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:44
WXHCR260526012,SD01-61KWH-B-XC-020,SD01前端吊挂,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,480,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:45
WXXSC260526012,SD01-61KWH-B-XC-015,SD01后端加强纵梁02,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:45
WXHCR260526012,SD01-61KWH-B-XC-015,SD01后端加强纵梁02,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:46
WXXSC260526012,SD01-61KWH-B-XC-016,SD01后端加强纵梁03,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:46
WXHCR260526012,SD01-61KWH-B-XC-016,SD01后端加强纵梁03,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:47
WXXSC260526012,SD01-61KWH-B-XC-018,SD01后端加强横梁1,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:47
WXHCR260526012,SD01-61KWH-B-XC-018,SD01后端加强横梁1,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:54:48
WXXSC260526012,SD01-61KWH-B-XC-005,SD01左后斜边框,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:16
WXHCR260526012,SD01-61KWH-B-XC-005,SD01左后斜边框,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:17
WXXSC260526012,SD01-61KWH-B-XC-011,SD01前加强梁,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:18
WXHCR260526012,SD01-61KWH-B-XC-011,SD01前加强梁,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:18
WXXSC260526012,SD01-XC-24,SD01封堵片,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,221,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:19
WXHCR260526012,SD01-XC-24,SD01封堵片,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,221,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:19
WXXSC260526012,SD01-61KWH-B-XC-006,SD01右后斜边梁,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,112,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:20
WXHCR260526012,SD01-61KWH-B-XC-006,SD01右后斜边梁,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,112,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:20
WXXSC260526012,SD01-61KWH-B-XC-023,SD01接地点支架,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:21
WXHCR260526012,SD01-61KWH-B-XC-023,SD01接地点支架,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:21
WXXSC260526012,SD01-61KWH-B-XC-012,SD01前端检修口加强梁01,件,CRK11,外协入库,R,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:22
WXHCR260526012,SD01-61KWH-B-XC-012,SD01前端检修口加强梁01,件,CRK02,销售出库,C,成品库,2026/5/26 14:14:25,120,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:57:22
